"No.","Time","Source","Destination","Protocol","Length","Info"
"7731","1368.550309858","Apple_68:48:f0","Broadcast","ARP","42","Who has 192.168.43.14? Tell 192.168.43.100"
"7732","1368.551287715","Apple_68:48:f0","Broadcast","ARP","42","Who has 192.168.43.173? Tell 192.168.43.100"
"7733","1368.552128713","Apple_68:48:f0","Broadcast","ARP","42","Who has 192.168.43.182? Tell 192.168.43.100"
"7734","1368.553139301","Apple_68:48:f0","Broadcast","ARP","42","Who has 192.168.43.87? Tell 192.168.43.100"
"7735","1368.554113951","Apple_68:48:f0","Broadcast","ARP","42","Who has 192.168.43.250? Tell 192.168.43.100"
"7736","1368.555076809","Apple_68:48:f0","Broadcast","ARP","42","Who has 192.168.43.116? Tell 192.168.43.100"
"7737","1368.555906045","Apple_68:48:f0","Broadcast","ARP","42","Who has 192.168.43.44? Tell 192.168.43.100"
"7738","1368.556972219","Apple_68:48:f0","Broadcast","ARP","42","Who has 192.168.43.243? Tell 192.168.43.100"
"7739","1368.557930005","Apple_68:48:f0","Broadcast","ARP","42","Who has 192.168.43.122? Tell 192.168.43.100"
"7740","1368.559282743","Apple_68:48:f0","Broadcast","ARP","42","Who has 192.168.43.213? Tell 192.168.43.100"
"7741","1368.560138932","Apple_68:48:f0","Broadcast","ARP","42","Who has 192.168.43.5? Tell 192.168.43.100"
"7742","1368.561128623","Apple_68:48:f0","Broadcast","ARP","42","Who has 192.168.43.18? Tell 192.168.43.100"
"7743","1368.562015772","Apple_68:48:f0","Broadcast","ARP","42","Who has 192.168.43.185? Tell 192.168.43.100"
"7744","1368.562863971","Apple_68:48:f0","Broadcast","ARP","42","Who has 192.168.43.139? Tell 192.168.43.100"
"7745","1368.563893307","Apple_68:48:f0","Broadcast","ARP","42","Who has 192.168.43.97? Tell 192.168.43.100"
"7748","1368.565044716","Apple_68:48:f0","Broadcast","ARP","42","Who has 192.168.43.93? Tell 192.168.43.100"
"7749","1368.565992570","Apple_68:48:f0","Broadcast","ARP","42","Who has 192.168.43.70? Tell 192.168.43.100"
"7750","1368.566978794","Apple_68:48:f0","Broadcast","ARP","42","Who has 192.168.43.227? Tell 192.168.43.100"
"7751","1368.568079563","Apple_68:48:f0","Broadcast","ARP","42","Who has 192.168.43.114? Tell 192.168.43.100"
"7752","1368.569079354","Apple_68:48:f0","Broadcast","ARP","42","Who has 192.168.43.193? Tell 192.168.43.100"
"7753","1368.569950384","Apple_68:48:f0","Broadcast","ARP","42","Who has 192.168.43.49? Tell 192.168.43.100"
"7754","1368.569968435","HonHaiPr_87:1b:89","Apple_68:48:f0","ARP","42","192.168.43.49 is at 90:32:4b:87:1b:89"
"7755","1368.571334791","Apple_68:48:f0","Broadcast","ARP","42","Who has 192.168.43.230? Tell 192.168.43.100"
"7756","1368.572213634","Apple_68:48:f0","Broadcast","ARP","42","Who has 192.168.43.47? Tell 192.168.43.100"
"7757","1368.573264267","Apple_68:48:f0","Broadcast","ARP","42","Who has 192.168.43.66? Tell 192.168.43.100"
"7758","1368.574163638","Apple_68:48:f0","Broadcast","ARP","42","Who has 192.168.43.220? Tell 192.168.43.100"
"7759","1368.575126382","Apple_68:48:f0","Broadcast","ARP","42","Who has 192.168.43.217? Tell 192.168.43.100"
"7760","1368.576239982","Apple_68:48:f0","Broadcast","ARP","42","Who has 192.168.43.199? Tell 192.168.43.100"
"7761","1368.577223434","Apple_68:48:f0","Broadcast","ARP","42","Who has 192.168.43.212? Tell 192.168.43.100"
"7762","1368.578200379","Apple_68:48:f0","Broadcast","ARP","42","Who has 192.168.43.177? Tell 192.168.43.100"
"7763","1368.579079495","Apple_68:48:f0","Broadcast","ARP","42","Who has 192.168.43.196? Tell 192.168.43.100"
"7764","1368.579905534","Apple_68:48:f0","Broadcast","ARP","42","Who has 192.168.43.163? Tell 192.168.43.100"
"7765","1368.580888476","Apple_68:48:f0","Broadcast","ARP","42","Who has 192.168.43.147? Tell 192.168.43.100"
"7766","1368.582241349","Apple_68:48:f0","Broadcast","ARP","42","Who has 192.168.43.145? Tell 192.168.43.100"
"7767","1368.583193308","Apple_68:48:f0","Broadcast","ARP","42","Who has 192.168.43.194? Tell 192.168.43.100"
"7768","1368.584067729","Apple_68:48:f0","Broadcast","ARP","42","Who has 192.168.43.133? Tell 192.168.43.100"
"7769","1368.585009764","Apple_68:48:f0","Broadcast","ARP","42","Who has 192.168.43.109? Tell 192.168.43.100"
"7770","1368.585919415","Apple_68:48:f0","Broadcast","ARP","42","Gratuitous ARP for 192.168.43.100 (Request)"
"7771","1368.586878323","Apple_68:48:f0","Broadcast","ARP","42","Who has 192.168.43.123? Tell 192.168.43.100"
"7772","1368.587842506","Apple_68:48:f0","Broadcast","ARP","42","Who has 192.168.43.89? Tell 192.168.43.100"
"7773","1368.588794709","Apple_68:48:f0","Broadcast","ARP","42","Who has 192.168.43.82? Tell 192.168.43.100"
"7774","1368.589735623","Apple_68:48:f0","Broadcast","ARP","42","Who has 192.168.43.233? Tell 192.168.43.100"
"7775","1368.591058793","Apple_68:48:f0","Broadcast","ARP","42","Who has 192.168.43.161? Tell 192.168.43.100"
"7776","1368.591978004","Apple_68:48:f0","Broadcast","ARP","42","Who has 192.168.43.146? Tell 192.168.43.100"
"7777","1368.592890407","Apple_68:48:f0","Broadcast","ARP","42","Who has 192.168.43.225? Tell 192.168.43.100"
"7778","1368.602947876","Apple_68:48:f0","Broadcast","ARP","42","Who has 192.168.43.117? Tell 192.168.43.100"
"7779","1368.611069956","Apple_68:48:f0","Broadcast","ARP","42","Who has 192.168.43.74? Tell 192.168.43.100"
"7780","1368.621126158","Apple_68:48:f0","Broadcast","ARP","42","Who has 192.168.43.234? Tell 192.168.43.100"
"7781","1368.635232301","Apple_68:48:f0","Broadcast","ARP","42","Who has 192.168.43.238? Tell 192.168.43.100"
"7782","1368.647266497","Apple_68:48:f0","Broadcast","ARP","42","Who has 192.168.43.73? Tell 192.168.43.100"
"7783","1368.657796789","Apple_68:48:f0","Broadcast","ARP","42","Who has 192.168.43.222? Tell 192.168.43.100"
"7784","1368.669061793","Apple_68:48:f0","Broadcast","ARP","42","Who has 192.168.43.245? Tell 192.168.43.100"
"7785","1368.831515263","Apple_68:48:f0","Broadcast","ARP","42","Who has 192.168.43.102? Tell 192.168.43.100"
"7786","1368.832397777","Apple_68:48:f0","Broadcast","ARP","42","Who has 192.168.43.181? Tell 192.168.43.100"
"7787","1368.833178180","Apple_68:48:f0","Broadcast","ARP","42","Who has 192.168.43.33? Tell 192.168.43.100"
"7788","1368.834081610","Apple_68:48:f0","Broadcast","ARP","42","Who has 192.168.43.25? Tell 192.168.43.100"
"7789","1368.834990369","Apple_68:48:f0","Broadcast","ARP","42","Who has 192.168.43.24? Tell 192.168.43.100"
"7790","1368.835854021","Apple_68:48:f0","Broadcast","ARP","42","Who has 192.168.43.175? Tell 192.168.43.100"
"7791","1368.836735508","Apple_68:48:f0","Broadcast","ARP","42","Who has 192.168.43.88? Tell 192.168.43.100"
"7792","1368.837616163","Apple_68:48:f0","Broadcast","ARP","42","Who has 192.168.43.210? Tell 192.168.43.100"
"7793","1368.838488288","Apple_68:48:f0","Broadcast","ARP","42","Who has 192.168.43.59? Tell 192.168.43.100"
"7794","1368.839292338","Apple_68:48:f0","Broadcast","ARP","42","Who has 192.168.43.30? Tell 192.168.43.100"
"7795","1368.840207997","Apple_68:48:f0","Broadcast","ARP","42","Who has 192.168.43.207? Tell 192.168.43.100"
"7796","1368.841095625","Apple_68:48:f0","Broadcast","ARP","42","Who has 192.168.43.189? Tell 192.168.43.100"
"7797","1368.841957916","Apple_68:48:f0","Broadcast","ARP","42","Who has 192.168.43.142? Tell 192.168.43.100"
"7798","1368.842762845","Apple_68:48:f0","Broadcast","ARP","42","Who has 192.168.43.104? Tell 192.168.43.100"
"7799","1369.036274064","Apple_68:48:f0","Broadcast","ARP","42","Who has 192.168.43.218? Tell 192.168.43.100"
"7800","1369.037170893","Apple_68:48:f0","Broadcast","ARP","42","Who has 192.168.43.95? Tell 192.168.43.100"
"7801","1369.038015987","Apple_68:48:f0","Broadcast","ARP","42","Who has 192.168.43.48? Tell 192.168.43.100"
"7802","1369.038875596","Apple_68:48:f0","Broadcast","ARP","42","Who has 192.168.43.48? Tell 192.168.43.100"
"7803","1369.039715172","Apple_68:48:f0","Broadcast","ARP","42","Who has 192.168.43.127? Tell 192.168.43.100"
"7804","1369.040623147","Apple_68:48:f0","Broadcast","ARP","42","Who has 192.168.43.64? Tell 192.168.43.100"
"7805","1369.041506126","Apple_68:48:f0","Broadcast","ARP","42","Who has 192.168.43.219? Tell 192.168.43.100"
"7806","1369.042360214","Apple_68:48:f0","Broadcast","ARP","42","Who has 192.168.43.110? Tell 192.168.43.100"
"7807","1369.043190662","Apple_68:48:f0","Broadcast","ARP","42","Who has 192.168.43.254? Tell 192.168.43.100"
"7808","1369.044079309","Apple_68:48:f0","Broadcast","ARP","42","Who has 192.168.43.37? Tell 192.168.43.100"
"7822","1375.180731895","5e:99:60:f5:c1:b2","HonHaiPr_87:1b:89","ARP","42","Who has 192.168.43.49? Tell 192.168.43.1 (duplicate use of 192.168.43.1 detected!)"
"7823","1375.180768035","HonHaiPr_87:1b:89","5e:99:60:f5:c1:b2","ARP","42","192.168.43.49 is at 90:32:4b:87:1b:89 (duplicate use of 192.168.43.1 detected!)"
"7828","1385.010924841","Apple_68:48:f0","HonHaiPr_87:1b:89","ARP","42","192.168.43.1 is at 88:e9:fe:68:48:f0"
"7831","1386.034887382","Apple_68:48:f0","HonHaiPr_87:1b:89","ARP","42","192.168.43.1 is at 88:e9:fe:68:48:f0"
"7832","1387.058831017","Apple_68:48:f0","HonHaiPr_87:1b:89","ARP","42","192.168.43.1 is at 88:e9:fe:68:48:f0"
"7833","1388.082884399","Apple_68:48:f0","HonHaiPr_87:1b:89","ARP","42","192.168.43.1 is at 88:e9:fe:68:48:f0"
"7834","1389.106793136","Apple_68:48:f0","HonHaiPr_87:1b:89","ARP","42","192.168.43.1 is at 88:e9:fe:68:48:f0"
"7839","1399.141698420","Apple_68:48:f0","HonHaiPr_87:1b:89","ARP","42","192.168.43.1 is at 88:e9:fe:68:48:f0"
"7840","1409.176511787","Apple_68:48:f0","HonHaiPr_87:1b:89","ARP","42","192.168.43.1 is at 88:e9:fe:68:48:f0"
"7857","1419.006838837","Apple_68:48:f0","HonHaiPr_87:1b:89","ARP","42","192.168.43.1 is at 88:e9:fe:68:48:f0"
"7891","1429.043001343","Apple_68:48:f0","HonHaiPr_87:1b:89","ARP","42","192.168.43.1 is at 88:e9:fe:68:48:f0"
"7902","1439.076534896","Apple_68:48:f0","HonHaiPr_87:1b:89","ARP","42","192.168.43.1 is at 88:e9:fe:68:48:f0"
"7905","1449.111854761","Apple_68:48:f0","HonHaiPr_87:1b:89","ARP","42","192.168.43.1 is at 88:e9:fe:68:48:f0"
"7906","1459.146339836","Apple_68:48:f0","HonHaiPr_87:1b:89","ARP","42","192.168.43.1 is at 88:e9:fe:68:48:f0"
"7917","1469.181057163","Apple_68:48:f0","HonHaiPr_87:1b:89","ARP","42","192.168.43.1 is at 88:e9:fe:68:48:f0"
"7948","1479.216629133","Apple_68:48:f0","HonHaiPr_87:1b:89","ARP","42","192.168.43.1 is at 88:e9:fe:68:48:f0"
"7962","1489.250939027","Apple_68:48:f0","HonHaiPr_87:1b:89","ARP","42","192.168.43.1 is at 88:e9:fe:68:48:f0"
"7973","1499.285767914","Apple_68:48:f0","HonHaiPr_87:1b:89","ARP","42","192.168.43.1 is at 88:e9:fe:68:48:f0"
"8006","1509.116489207","Apple_68:48:f0","HonHaiPr_87:1b:89","ARP","42","192.168.43.1 is at 88:e9:fe:68:48:f0"
"8009","1519.150780857","Apple_68:48:f0","HonHaiPr_87:1b:89","ARP","42","192.168.43.1 is at 88:e9:fe:68:48:f0"
"8021","1529.123454858","Apple_68:48:f0","HonHaiPr_87:1b:89","ARP","42","192.168.43.1 is at 88:e9:fe:68:48:f0"
"8039","1539.221192864","Apple_68:48:f0","HonHaiPr_87:1b:89","ARP","42","192.168.43.1 is at 88:e9:fe:68:48:f0"
"8043","1549.255626367","Apple_68:48:f0","HonHaiPr_87:1b:89","ARP","42","192.168.43.1 is at 88:e9:fe:68:48:f0"
"8111","1559.290476116","Apple_68:48:f0","HonHaiPr_87:1b:89","ARP","42","192.168.43.1 is at 88:e9:fe:68:48:f0"
"8176","1569.326091713","Apple_68:48:f0","HonHaiPr_87:1b:89","ARP","42","192.168.43.1 is at 88:e9:fe:68:48:f0"
"8181","1579.360426519","Apple_68:48:f0","HonHaiPr_87:1b:89","ARP","42","192.168.43.1 is at 88:e9:fe:68:48:f0"
"8189","1589.395197042","Apple_68:48:f0","HonHaiPr_87:1b:89","ARP","42","192.168.43.1 is at 88:e9:fe:68:48:f0"
"8208","1599.430821445","Apple_68:48:f0","HonHaiPr_87:1b:89","ARP","42","192.168.43.1 is at 88:e9:fe:68:48:f0"
"8211","1609.260478473","Apple_68:48:f0","HonHaiPr_87:1b:89","ARP","42","192.168.43.1 is at 88:e9:fe:68:48:f0"
"8231","1619.244080756","Apple_68:48:f0","HonHaiPr_87:1b:89","ARP","42","192.168.43.1 is at 88:e9:fe:68:48:f0"
"8266","1629.739871479","Apple_68:48:f0","HonHaiPr_87:1b:89","ARP","42","192.168.43.1 is at 88:e9:fe:68:48:f0"
"8273","1639.365237692","Apple_68:48:f0","HonHaiPr_87:1b:89","ARP","42","192.168.43.1 is at 88:e9:fe:68:48:f0"
"8282","1649.400128440","Apple_68:48:f0","HonHaiPr_87:1b:89","ARP","42","192.168.43.1 is at 88:e9:fe:68:48:f0"
"8303","1659.435041708","Apple_68:48:f0","HonHaiPr_87:1b:89","ARP","42","192.168.43.1 is at 88:e9:fe:68:48:f0"
"8310","1669.302948158","Apple_68:48:f0","HonHaiPr_87:1b:89","ARP","42","192.168.43.1 is at 88:e9:fe:68:48:f0"
"8339","1679.476578215","Apple_68:48:f0","HonHaiPr_87:1b:89","ARP","42","192.168.43.1 is at 88:e9:fe:68:48:f0"
"8345","1689.540686779","Apple_68:48:f0","HonHaiPr_87:1b:89","ARP","42","192.168.43.1 is at 88:e9:fe:68:48:f0"
"8346","1699.370266563","Apple_68:48:f0","HonHaiPr_87:1b:89","ARP","42","192.168.43.1 is at 88:e9:fe:68:48:f0"
"8353","1709.405157771","Apple_68:48:f0","HonHaiPr_87:1b:89","ARP","42","192.168.43.1 is at 88:e9:fe:68:48:f0"
"8361","1719.440780217","Apple_68:48:f0","HonHaiPr_87:1b:89","ARP","42","192.168.43.1 is at 88:e9:fe:68:48:f0"
"8444","1729.475248084","Apple_68:48:f0","HonHaiPr_87:1b:89","ARP","42","192.168.43.1 is at 88:e9:fe:68:48:f0"
"8448","1739.510154851","Apple_68:48:f0","HonHaiPr_87:1b:89","ARP","42","192.168.43.1 is at 88:e9:fe:68:48:f0"
"8449","1749.545699731","Apple_68:48:f0","HonHaiPr_87:1b:89","ARP","42","192.168.43.1 is at 88:e9:fe:68:48:f0"
"8456","1759.580124032","Apple_68:48:f0","HonHaiPr_87:1b:89","ARP","42","192.168.43.1 is at 88:e9:fe:68:48:f0"
"8459","1769.616591655","Apple_68:48:f0","HonHaiPr_87:1b:89","ARP","42","192.168.43.1 is at 88:e9:fe:68:48:f0"
"8474","1779.650612243","Apple_68:48:f0","HonHaiPr_87:1b:89","ARP","42","192.168.43.1 is at 88:e9:fe:68:48:f0"
"8487","1789.481044478","Apple_68:48:f0","HonHaiPr_87:1b:89","ARP","42","192.168.43.1 is at 88:e9:fe:68:48:f0"
"8495","1799.515234739","Apple_68:48:f0","HonHaiPr_87:1b:89","ARP","42","192.168.43.1 is at 88:e9:fe:68:48:f0"
"8513","1809.486330474","Apple_68:48:f0","HonHaiPr_87:1b:89","ARP","42","192.168.43.1 is at 88:e9:fe:68:48:f0"
"8518","1819.585171846","Apple_68:48:f0","HonHaiPr_87:1b:89","ARP","42","192.168.43.1 is at 88:e9:fe:68:48:f0"
"8521","1829.620333303","Apple_68:48:f0","HonHaiPr_87:1b:89","ARP","42","192.168.43.1 is at 88:e9:fe:68:48:f0"
"8528","1839.655754279","Apple_68:48:f0","HonHaiPr_87:1b:89","ARP","42","192.168.43.1 is at 88:e9:fe:68:48:f0"
"8537","1849.690201452","Apple_68:48:f0","HonHaiPr_87:1b:89","ARP","42","192.168.43.1 is at 88:e9:fe:68:48:f0"
"8595","1859.725231609","Apple_68:48:f0","HonHaiPr_87:1b:89","ARP","42","192.168.43.1 is at 88:e9:fe:68:48:f0"
"8602","1870.178671767","Apple_68:48:f0","HonHaiPr_87:1b:89","ARP","42","192.168.43.1 is at 88:e9:fe:68:48:f0"
"8607","1879.795241216","Apple_68:48:f0","HonHaiPr_87:1b:89","ARP","42","192.168.43.1 is at 88:e9:fe:68:48:f0"
"8727","1889.625351537","Apple_68:48:f0","HonHaiPr_87:1b:89","ARP","42","192.168.43.1 is at 88:e9:fe:68:48:f0"
"8789","1899.660435841","Apple_68:48:f0","HonHaiPr_87:1b:89","ARP","42","192.168.43.1 is at 88:e9:fe:68:48:f0"
"8800","1909.900084347","Apple_68:48:f0","HonHaiPr_87:1b:89","ARP","42","192.168.43.1 is at 88:e9:fe:68:48:f0"
"8811","1919.731640000","Apple_68:48:f0","HonHaiPr_87:1b:89","ARP","42","192.168.43.1 is at 88:e9:fe:68:48:f0"
"8942","1929.765844651","Apple_68:48:f0","HonHaiPr_87:1b:89","ARP","42","192.168.43.1 is at 88:e9:fe:68:48:f0"
"8996","1939.800278234","Apple_68:48:f0","HonHaiPr_87:1b:89","ARP","42","192.168.43.1 is at 88:e9:fe:68:48:f0"
"9026","1949.835418935","Apple_68:48:f0","HonHaiPr_87:1b:89","ARP","42","192.168.43.1 is at 88:e9:fe:68:48:f0"
"9056","1959.870921520","Apple_68:48:f0","HonHaiPr_87:1b:89","ARP","42","192.168.43.1 is at 88:e9:fe:68:48:f0"
"9082","1969.723882992","Apple_68:48:f0","HonHaiPr_87:1b:89","ARP","42","192.168.43.1 is at 88:e9:fe:68:48:f0"
"9125","1979.940411186","Apple_68:48:f0","HonHaiPr_87:1b:89","ARP","42","192.168.43.1 is at 88:e9:fe:68:48:f0"
"9130","1989.771240742","Apple_68:48:f0","HonHaiPr_87:1b:89","ARP","42","192.168.43.1 is at 88:e9:fe:68:48:f0"
"9178","1999.809945957","Apple_68:48:f0","HonHaiPr_87:1b:89","ARP","42","192.168.43.1 is at 88:e9:fe:68:48:f0"
"9185","2009.840567595","Apple_68:48:f0","HonHaiPr_87:1b:89","ARP","42","192.168.43.1 is at 88:e9:fe:68:48:f0"
"9212","2019.875624794","Apple_68:48:f0","HonHaiPr_87:1b:89","ARP","42","192.168.43.1 is at 88:e9:fe:68:48:f0"
